samples	treatment	dryweight
1	NC	0.6708
2	NC	0.7559
3	NC	0.6684
4	NC	0.6353
5	NC	0.6005
6	NC	0.8022
7	NC	0.4108
8	NC	0.6072
9	NC	0.9138
10	NC	0.7236
11	Pro	0.5899
12	Pro	0.4238
13	Pro	0.5537
14	Pro	0.5887
15	Pro	0.6675
16	Pro	0.4536
17	Pro	0.5635
18	Pro	0.73
19	Pro	0.4519
20	Pro	0.5069
21	Cip	0.6156
22	Cip	0.4067
23	Cip	0.6182
24	Cip	0.5367
25	Cip	0.7141
26	Cip	0.5688
27	Cip	0.4954
28	Cip	0.4128
29	Cip	0.5169
30	Cip	0.4579
31	Mix	0.5409
32	Mix	0.4663
33	Mix	0.5612
34	Mix	0.6193
35	Mix	0.6198
36	Mix	0.4758
37	Mix	0.3611
38	Mix	0.5481
39	Mix	0.3699
40	Mix	0.5119
41	Culture	0.3179
42	Culture	0.3379
43	Culture	0.4906
44	Culture	0.5677
45	Culture	0.6493
46	Culture	0.3517
47	Culture	0.4338
48	Culture	0.45
49	Culture	0.3514
50	Culture	0.5651
