Snail	Treatment	dw_snail
NC3	NC	0.6708
NC4	NC	0.7559
NC7	NC	0.6684
NC8	NC	0.6353
NC10	NC	0.6005
NC15	NC	0.8022
NC25	NC	0.4108
NC26	NC	0.6072
NC27	NC	0.9138
NC28	NC	0.7236
Pro2	Pro	0.5899
Pro7	Pro	0.4238
Pro8	Pro	0.5537
Pro9	Pro	0.5887
Pro18	Pro	0.6675
Pro20	Pro	0.4536
Pro21	Pro	0.5635
Pro23	Pro	0.73
Pro24	Pro	0.4519
Pro26	Pro	0.5069
Cip2	Cip	0.6156
Cip3	Cip	0.4067
Cip4	Cip	0.6182
Cip6	Cip	0.5367
Cip7	Cip	0.7141
Cip11	Cip	0.5688
Cip14	Cip	0.4954
Cip16	Cip	0.4128
Cip18	Cip	0.5169
Cip19	Cip	0.4579
Mix4	Mix	0.5409
Mix7	Mix	0.4663
Mix9	Mix	0.5612
Mix10	Mix	0.6193
Mix12	Mix	0.6198
Mix13	Mix	0.4758
Mix15	Mix	0.3611
Mix17	Mix	0.5481
Mix18	Mix	0.3699
Mix26	Mix	0.5119
S3	Culture	0.3179
S4	Culture	0.3379
S6	Culture	0.4906
S7	Culture	0.5677
S9	Culture	0.6493
S13	Culture	0.3517
S19	Culture	0.4338
S21	Culture	0.45
S24	Culture	0.3514
S23	Culture	0.5651
